00|20200725|20200725|20200725|INCIFVIP
01|123456789|01|Y|01|1
01|123456790|01|Y|01|1
01|123456791|01|Y|01|1
01|123456792|01|Y|01|1
01|123456793|01|Y|01|1
01|123456794|01|Y|01|1
01|123456795|01|Y|01|1
01|123456796|01|Y|01|1
01|123456797|01|Y|01|1
01|123456798|01|Y|01|1
01|123456799|01|Y|01|1
01|123456800|01|Y|01|1
01|123456801|01|Y|01|1
01|123456802|01|Y|01|1
01|123456803|01|Y|01|1
01|123456804|01|Y|01|1
01|123456805|01|Y|01|1
01|123456806|01|Y|01|1
01|123456807|01|Y|01|1
01|123456808|01|Y|01|1
99|3|0

